group	subgroup	cong	location	vacant	founded	building1st	whenorganized	year1n	memb1	year2n	memb2	year3n	memb3	year4n	memb4	year5n	memb5	year6n	memb6	year7n	memb7	year8n	memb8	year9	gps1	gps2	casenum	organizationdate	memborganize	parentchurch	year1	year2	year3	year4	year5	year6	year7	year8
Menno	MC	Pleasant Grove	Pendleton		1885	1903		1905	42	1925	26	1950	53	1975	36	2007	9								38.62484	-79.24476	69				1905/42	1925/26	1950/53	1975/36	2007/9			
Menno	Ind. Menn.	Lambert	Randolph		1900	1949		1925	49	1950	20	1975	37	2002	26	2013	24								38.859266	-80.422031	70				1925/49	1950/20	1975/37	2002/26	2013/24			
Menno	MC	Riverside	Randolph		1913	1935		1925	27	1950	25	1975	39	1997	31	2013	22								38.92233	-79.52505	71				1925/27	1950/25	1975/39	1997/31	2013/22			
Breth	COB	Beaver Creek	Rockingham		1828			1908	346	1916	420	1925	350	1950	466	1962	628	1975	175	2002	184	2018	179		38.409841	-79.016253	1	1806			1908/346	1916/420	1925/350	1950/466	1962/628	1975/175	2002/184	2018/179
Breth	COB	Bethel, Broadway	Rockingham		1896			1977	156	2002	168	2018	132												38.586515	-78.771349	2	1976	156	Bethel	1977/156	2002/168	2018/132					
Breth	COB	Bridgewater	Rockingham		1878			1925	521	1950	625	1975	729	2002	709	2018	576								38.377652	-78.96334	3	1907	201	Cooks Creek	1925/521	1950/625	1975/729	2002/709	2018/576			
Breth	COB	Briery Branch	Rockingham		1886			1964	423	1975	260	2002	351	2018	410										38.429851	-79.066234	4	1961	269	Beaver Creek	1964/423	1975/260	2002/351	2018/410				
Breth	COB	Cedar Run	Rockingham		1897			1975	104	2002	90	2018	82												38.607009	-78.837495	5	1973	105	Linville Creek	1975/104	2002/90	2018/82					
Breth	COB	Cooks Creek at Garbers	Rockingham		1822			1925	300	1950	351														38.437848	-78.911576	6	1780			1925/300	1950/351						
Breth	COB	Damascus	Rockingham		1884			1925	110	1950	214	1975	161	2002	162	2018	115								38.752631	-79.007094	7	1922		Brocks Gap	1925/110	1950/214	1975/161	2002/162	2018/115			
Breth	COB	Dayton	Rockingham		1879			1975	305	2002	215	2018	217												38.414078	-78.939487	8	1966	258	Cooks Creek	1975/305	2002/215	2018/217					
Breth	DB	Dayton	Rockingham		1963			1980	22																38.412711	-78.944415	9	1927	“a few”		1980/22							
Breth	COB	Fairview-Endless Caverns	Rockingham		1892			1975	83	2002	126	2018	110												38.601998	-78.702977	10	1976	83	Unity	1975/83	2002/126	2018/110					
Breth	COB	Fairview-Mt. Clinton	Rockingham		1894			1975	64	1999	119	2018	99												38.509008	-78.941589	11	1967	127		1975/64	1999/119	2018/99					
Breth	COB	Garbers	Rockingham		1822			1975	119	1999	127	2018	118												38.437848	-78.911576	12	1966		Cooks Creek	1975/119	1999/127	2018/118					
Breth	COB	Greenmount	Rockingham		1843			1925	400	1930	425	1940	540	1950	669	1963	467	1975	140	2002	329	2018	261		38.51505	-78.892398	13	1844			1925/400	1930/425	1940/540	1950/669	1963/467	1975/140	2002/329	2018/261
